"observationDay","team","county","practiceFacilityCounty","stadiumCounty","positives","population"
2020-05-06,"ARI","Maricopa",TRUE,TRUE,209,4485414
2020-05-07,"ARI","Maricopa",TRUE,TRUE,58,4485414
2020-05-08,"ARI","Maricopa",TRUE,TRUE,329,4485414
2020-05-09,"ARI","Maricopa",TRUE,TRUE,254,4485414
2020-05-10,"ARI","Maricopa",TRUE,TRUE,48,4485414
2020-05-11,"ARI","Maricopa",TRUE,TRUE,161,4485414
2020-05-12,"ARI","Maricopa",TRUE,TRUE,231,4485414
2020-05-13,"ARI","Maricopa",TRUE,TRUE,122,4485414
2020-05-14,"ARI","Maricopa",TRUE,TRUE,258,4485414
2020-05-15,"ARI","Maricopa",TRUE,TRUE,222,4485414
2020-05-16,"ARI","Maricopa",TRUE,TRUE,275,4485414
2020-05-17,"ARI","Maricopa",TRUE,TRUE,144,4485414
2020-05-18,"ARI","Maricopa",TRUE,TRUE,100,4485414
2020-05-19,"ARI","Maricopa",TRUE,TRUE,142,4485414
2020-05-20,"ARI","Maricopa",TRUE,TRUE,162,4485414
2020-05-21,"ARI","Maricopa",TRUE,TRUE,191,4485414
2020-05-22,"ARI","Maricopa",TRUE,TRUE,115,4485414
2020-05-23,"ARI","Maricopa",TRUE,TRUE,227,4485414
2020-05-24,"ARI","Maricopa",TRUE,TRUE,100,4485414
